sentence,item_id,surprisal-5gram_mean,surprisal-gpt2-xl_mean,surprisal-pcfg_mean,stimsetid,sent_identifier
I didn't sense any immediate danger.,496,2.49274106,3.8958783,9.37831875,beta-control-neural-D.496,torontomyst.6.121564
Especially the priest in our church.,497,2.759329506,5.322149,13.09802,beta-control-neural-D.497,torontomyst.6.011540
Maybe they had a platonic relationship.,498,2.294196878,3.9163673,9.013067143,beta-control-neural-D.498,torontomyst.6.027346
Pine cones and tree bark too.,499,2.772858066,4.9557,13.92063714,beta-control-neural-D.499,torontomyst.6.152267
Painter refused to disappoint his mentor.,500,3.067176512,6.1416373,11.45830857,beta-control-neural-D.500,torontomyst.6.129439
That could be a commendable quality.,501,2.512431166,4.2008576,8.556571429,beta-control-neural-D.501,torontomyst.6.076951
"No chicken soup, I want tomato.",502,3.32162135,5.8162365,12.46332625,beta-control-neural-D.502,torontomyst.6.171901
"Mild fever, slight headache, neck stiffness...",503,3.287340692,4.3401256,14.78330111,beta-control-neural-D.503,torontomyst.6.137967
King's handsome face looked almost demonic.,504,3.246500574,5.3980045,12.94249375,beta-control-neural-D.504,torontomyst.6.104535
Did permission have to be granted?,505,3.077682223,4.1984787,10.46665286,beta-control-neural-D.505,torontomyst.6.128868
"Eyes turned to him, surprisingly bright.",506,3.342429621,5.212489,10.19157875,beta-control-neural-D.506,torontomyst.6.137700
The official diagnosis was a stroke.,507,2.237869229,3.7928238,9.070288571,beta-control-neural-D.507,torontomyst.6.007321
"Maximum impact, least amount of effort.",508,2.79238588,4.603412,12.69264375,beta-control-neural-D.508,torontomyst.6.048035
"She was delicate always, now extremely.",509,3.371224684,6.8463907,11.1052925,beta-control-neural-D.509,torontomyst.6.111537
Yes she isolated various radioactive atoms.,510,3.618307778,7.8879385,12.73644286,beta-control-neural-D.510,torontomyst.6.026931
Fredriksson was the acting news editor.,511,3.176374759,4.920154,10.81974429,beta-control-neural-D.511,torontomyst.6.076684
They pay cash and tip little.,512,3.015900476,5.6217456,11.08801714,beta-control-neural-D.512,torontomyst.6.035276
All the way to the rear!,513,1.372390917,3.7444372,11.67127857,beta-control-neural-D.513,torontomyst.6.137817
"Both wearing white, untucked, long-sleeved shirts.",514,2.749442152,3.4850533,13.39036556,beta-control-neural-D.514,torontomyst.6.121111
Heavy fabric stretched on steel frames.,515,3.028516889,6.2704597,12.0546,beta-control-neural-D.515,torontomyst.6.133320
A bunny can be fluffy sometimes.,516,3.430837342,5.690008,10.92517429,beta-control-neural-D.516,torontomyst.6.067486
"However, that wasn't an immediate improvement.",517,2.071733241,3.6655815,7.803502333,beta-control-neural-D.517,torontomyst.6.144611
How sturdy is the coffee table?,518,3.082447495,4.4397373,11.68666571,beta-control-neural-D.518,torontomyst.6.067764
"Unscrew, slide into place, lock, screw.",519,4.184220178,3.7165334,12.089608,beta-control-neural-D.519,torontomyst.6.038220
The Weasel was an accomplished backstabber.,520,3.038425607,4.2046556,11.26688286,beta-control-neural-D.520,torontomyst.6.083966
The brunette was licking her lips.,521,3.056806539,4.1884594,10.51076,beta-control-neural-D.521,torontomyst.6.006844
Confessing your sins is the escape.,522,3.055989913,4.867776,12.26757143,beta-control-neural-D.522,torontomyst.6.066347
Diver on crew boat retrieves cargo.,523,4.244284357,5.7468715,15.37057143,beta-control-neural-D.523,torontomyst.6.016239
Kindness and warmth emanated from him.,524,3.196299389,3.8478649,12.20917571,beta-control-neural-D.524,torontomyst.6.017300
She was near Grand Central Station.,525,1.89646009,4.5543947,10.98452286,beta-control-neural-D.525,torontomyst.6.060883
What one word would describe you?,526,3.117115974,3.5121367,12.36022143,beta-control-neural-D.526,torontomyst.6.138902
No one expected me to win.,527,2.085403523,3.6359172,9.691508571,beta-control-neural-D.527,torontomyst.6.163295
Use your computer access for deciphering.,528,3.290047663,5.766765,13.64540857,beta-control-neural-D.528,torontomyst.6.095384
Afraid of what she might do.,529,2.089844193,3.9096334,9.409075714,beta-control-neural-D.529,torontomyst.6.009878
He glanced wistfully out the window..,530,2.303548885,4.499521,15.88756,beta-control-neural-D.530,torontomyst.6.123336
I decided to neutralize the situation.,531,1.944608424,4.073108,8.511595714,beta-control-neural-D.531,torontomyst.6.114922
I still saw cynicism and contempt.,532,2.989641496,5.959024,11.05483857,beta-control-neural-D.532,torontomyst.6.000795
The code's too easy to read.,533,2.080451705,4.138612,7.558525,beta-control-neural-D.533,torontomyst.6.075831
"She leaned into him antagonistically, ""hunh?""",534,3.991372446,5.3875566,12.978963,beta-control-neural-D.534,torontomyst.6.112298
"Gross stopped briefly, then went on.",535,2.964217071,4.5432105,11.14525375,beta-control-neural-D.535,brown.6.000264
"Sharon, she's cooked in a restaurant.",536,2.697837554,4.8395386,9.956665556,beta-control-neural-D.536,brown.6.000007
There was no mistaking that scream.,537,2.136109854,3.620351,11.30900286,beta-control-neural-D.537,brown.6.000434
"Years of war, strain, and hatred.",538,2.873888041,4.4823165,11.62089333,beta-control-neural-D.538,brown.6.000757
Form clay strip into a cylinder.,539,3.386888947,6.8832536,13.60003571,beta-control-neural-D.539,brown.6.000651
I couldn't help laughing with him.,540,1.811918628,3.9164357,8.415415,beta-control-neural-D.540,brown.6.001350
Elizabeth Way was the first operator.,541,2.554257512,6.3712068,9.598041429,beta-control-neural-D.541,brown.6.000785
He also admitted killing Mrs. Hengesbach.,542,2.982529819,5.532575,10.42511429,beta-control-neural-D.542,brown.6.001108
I don't have the answer yet.,543,2.072270694,2.8358588,7.78236875,beta-control-neural-D.543,brown.6.000909
Now the government must do that.,544,2.131662284,4.5397077,7.683401429,beta-control-neural-D.544,brown.6.000382
Then he realized he was hungry.,545,2.150744046,3.9996235,9.896094286,beta-control-neural-D.545,brown.6.001238
Bullets began to snap past him.,546,3.17863541,5.009118,11.44755571,beta-control-neural-D.546,brown.6.000029
Others invoked technology and common sense.,547,2.924563834,5.7211714,12.28919571,beta-control-neural-D.547,brown.6.000226
Ordered an investigation of Lumumba's death.,548,2.247263711,4.3158436,11.6062075,beta-control-neural-D.548,brown.6.001155
The courage to meet every challenge.,549,2.312979392,4.5510874,10.39066571,beta-control-neural-D.549,brown.6.000259
Such study may take many forms.,550,2.462190628,4.8157454,10.18211,beta-control-neural-D.550,brown.6.000273
Cut clay top and base pieces.,551,3.627400228,6.2585864,13.48675714,beta-control-neural-D.551,brown.6.000650
When she had finished I said:,552,2.243132029,4.3178287,12.40990714,beta-control-neural-D.552,brown.6.000916
Approaching shore their masts appeared first.,553,3.822198221,5.6430936,14.36636143,beta-control-neural-D.553,brown.6.000244
"These are fairly large, tough animals.",554,2.763993774,4.225787,10.41656875,beta-control-neural-D.554,brown.6.000630
He must pray to be spared.,555,2.309308776,4.5886006,10.98016714,beta-control-neural-D.555,brown.6.000437
Payne was more methodical than that.,556,2.79902723,4.4654326,10.78089571,beta-control-neural-D.556,brown.6.000428
The situation involved some political perils.,557,3.161978934,5.4437795,10.15008714,beta-control-neural-D.557,brown.6.000883
One of the little girls said.,558,2.137999988,4.283952,9.505595714,beta-control-neural-D.558,brown.6.000168
That Jaguar could really barrel along.,559,3.349484444,7.1089396,12.17974286,beta-control-neural-D.559,brown.6.001050
Political organization revolved about the basileis.,560,3.043402731,6.6596446,13.09408,beta-control-neural-D.560,brown.6.000779
A cigarette would taste particularly good.,561,3.121382594,6.1558943,11.70690143,beta-control-neural-D.561,brown.6.000196
Suppose Lauren comes looking for us??,562,3.316245207,6.7479653,12.5890825,beta-control-neural-D.562,brown.6.000930
Travelling home on a late train??,563,2.926239456,4.725781,12.84307,beta-control-neural-D.563,brown.6.000527
Everyone is to be a participant.,564,2.14199279,4.902149,7.996718571,beta-control-neural-D.564,brown.6.001181
Time in the sum is nothing.,565,2.640277496,5.6853747,9.595581429,beta-control-neural-D.565,brown.6.000215
There was no one but me.,566,1.849663922,3.5572176,8.990871429,beta-control-neural-D.566,brown.6.000014
It originated with the Wissahickon Section.,567,2.671664681,4.194542,10.43971,beta-control-neural-D.567,brown.6.001105
A letter awaited her at Princeton.,568,2.913920232,5.611307,10.84872,beta-control-neural-D.568,brown.6.000258
"Fred Mullen from Mercer Island, Wash.",569,3.660393221,4.5281053,13.4617925,beta-control-neural-D.569,brown.6.001156
Wine waiters are something else again.,570,3.420166739,4.1277294,12.58969857,beta-control-neural-D.570,brown.6.000881
We were back on the road.,571,1.489069368,3.4533136,7.593697143,beta-control-neural-D.571,brown.6.000117
For what do the utopians labor??,572,2.768336872,6.0658646,12.38852875,beta-control-neural-D.572,brown.6.000240
But I knowingly abuse their confidence.,573,3.384982177,6.716052,11.07763857,beta-control-neural-D.573,brown.6.000848
Unanimity on Interama is not surprising.,574,2.957848112,5.3274903,10.61451143,beta-control-neural-D.574,brown.6.000339
Most of them were elderly men.,575,1.853656692,3.9782662,9.015652857,beta-control-neural-D.575,brown.6.000502
"No, the man was not drunk.",576,2.37308916,3.2607994,8.6181775,beta-control-neural-D.576,brown.6.001068
She was thirty-one years old then.,577,1.814074397,3.238598,9.789368571,beta-control-neural-D.577,brown.6.000993
There is nothing new in this.,578,1.576210712,2.731252,8.719408571,beta-control-neural-D.578,brown.6.000315
What else was there to say??,579,2.15029507,3.7941525,11.56014625,beta-control-neural-D.579,brown.6.001225
There was a contorted ugliness now.,580,3.08238181,4.6194687,10.64626857,beta-control-neural-D.580,brown.6.001367
"Frowning, Miss Ada studied the list.",581,4.026989698,5.4740725,12.1331925,beta-control-neural-D.581,brown.6.000559
Martin gave her a teasing pat.,582,2.961913032,6.005518,12.60933429,beta-control-neural-D.582,brown.6.001375
Balenciaga is her favorite European designer.,583,3.736029591,4.1248674,11.53546714,beta-control-neural-D.583,brown.6.001124
They came unexpectedly upon the sea.,584,2.311900284,5.3900824,10.47977143,beta-control-neural-D.584,brown.6.000531
Supply and installation of steel pilings.,585,2.849089488,4.7274785,12.8477,beta-control-neural-D.585,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.113122
Your preferred timeframe for commencing in-store.,586,3.476168975,5.3885818,14.02868143,beta-control-neural-D.586,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.121119
You can use milk if required.,587,2.542853509,5.2337894,10.99704714,beta-control-neural-D.587,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.049487
How do we compare to others?,588,2.233420074,3.1140835,9.640368571,beta-control-neural-D.588,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.169778
How is the weather in Spain?,589,1.833500198,3.723716,8.672868571,beta-control-neural-D.589,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.045286
This time I'm rooting for Khan.,590,2.195962774,4.5050554,10.98713875,beta-control-neural-D.590,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.069552
"Appears to be far, far older.",591,2.442515314,4.0267234,10.63669,beta-control-neural-D.591,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.034034
Arrange both windows as you like.,592,3.313594188,4.667912,13.35836286,beta-control-neural-D.592,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.142103
The ones who refuse to quit.,593,2.171174831,4.0993924,10.44979986,beta-control-neural-D.593,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.056509
Our friend Bo Fodor is playing.,594,3.291501471,6.197236,13.25530429,beta-control-neural-D.594,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.124618
Remember that in times of pain!,595,2.277415767,5.693343,12.51112571,beta-control-neural-D.595,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.123166
"So, is BC Rich officially dead?",596,3.366222526,5.215793,11.6985375,beta-control-neural-D.596,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.003228
Moving and can't bring with us.,597,2.488684505,5.8224096,11.51953375,beta-control-neural-D.597,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.005433
Be prepared for various weather conditions.,598,2.324412082,4.1230054,12.13674857,beta-control-neural-D.598,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.054757
Looks like you had a blast!,599,2.108219641,3.7025037,12.12737714,beta-control-neural-D.599,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.129673
Sizes range from 2XL to 3XL.,600,2.321595778,3.0213335,12.46172,beta-control-neural-D.600,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.137951
"Regardless, they end up quantifying risk.",601,3.270478508,5.3847733,9.803725,beta-control-neural-D.601,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.037514
Here is more on these platforms.,602,2.451581138,5.0389657,9.921878571,beta-control-neural-D.602,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.090050
The fifth character is Mr. Globe.,603,3.114343873,5.1581826,9.656231429,beta-control-neural-D.603,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.044135
It changes everything about human interaction.,604,2.391549583,4.41197,10.92943143,beta-control-neural-D.604,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.177038
Do you have any Japanese foods?,605,2.328095862,4.385482,10.12949429,beta-control-neural-D.605,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.145804
"Game on, Barney to throw first.",606,3.408599292,7.4807796,11.6462575,beta-control-neural-D.606,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.002889
"In this case, it is not.",607,1.342351445,2.8895981,5.955578125,beta-control-neural-D.607,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.086387
This procedure works in most cases.,608,2.334724375,3.833112,9.28732,beta-control-neural-D.608,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.150722
How debilitating the sensory issues are.,609,3.713369557,5.3591704,13.02467571,beta-control-neural-D.609,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.112522
Enjoy and stay connected with us!!,610,2.935061625,4.8649654,14.3536275,beta-control-neural-D.610,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.044553
It also included two data centers.,611,2.13696054,5.3639245,8.33773,beta-control-neural-D.611,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.004967
Are you ready for an exploration?,612,1.933413216,3.3841352,11.02473714,beta-control-neural-D.612,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.018147
Why am I practicing SUP yoga?,613,3.62038808,5.6588297,14.00016714,beta-control-neural-D.613,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.102432
If the Downloading will not start.,614,2.685151373,4.965137,10.49920857,beta-control-neural-D.614,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.034603
Each block can be individually deleted.,615,2.846390328,4.6717196,11.28433,beta-control-neural-D.615,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.160043
Please do send me a message!,616,2.4660225,3.7747195,12.58425714,beta-control-neural-D.616,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.011981
What if nature had a voice?,617,2.629520978,3.8003008,10.85872286,beta-control-neural-D.617,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.136181
Doubly important ones can be asterisked.,618,3.28219756,4.9307265,11.60182714,beta-control-neural-D.618,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.155891
I'm definitely up to the challenge!,619,1.768556047,3.2065217,9.6762325,beta-control-neural-D.619,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.000648
Visit my Author Website for more.,620,3.454214062,5.034776,13.88987571,beta-control-neural-D.620,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.091495
From the Baldy tunnel higher up.,621,3.318947767,7.071365,13.05323571,beta-control-neural-D.621,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.032325
"For purely constitutional reasons, of course.",622,3.261817847,4.565888,12.21315875,beta-control-neural-D.622,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.164723
It actually simplifies lots of points.,623,3.233683011,5.463115,10.48201286,beta-control-neural-D.623,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.089496
How to create a personalized chart.,624,2.63501648,4.4482336,10.97051714,beta-control-neural-D.624,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.017002
"He was happy, upbeat and friendly.",625,2.472952528,3.9953482,7.8356835,beta-control-neural-D.625,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.002101
I'm starting to get a complex.,626,1.90708868,3.557614,7.9932275,beta-control-neural-D.626,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.121106
Maybe it's time for a rest.,627,1.553439632,3.0707505,7.9541825,beta-control-neural-D.627,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.054448
Glam Morena: Tutorial: In Full Bloom.,628,3.645406697,6.7403417,14.51285556,beta-control-neural-D.628,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.137193
The control comes with ease now.,629,3.032498062,5.9449463,10.00815429,beta-control-neural-D.629,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.140825
More gravel would have been better.,630,2.380587254,4.872265,8.964315714,beta-control-neural-D.630,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.001956
It is only your own projection.,631,2.391179681,4.861227,8.989315714,beta-control-neural-D.631,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.060775
So the wise renounce that aim.,632,3.485283579,6.1300273,11.97814,beta-control-neural-D.632,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.044039
A must for all hosta collections.,633,3.248659423,5.653875,13.14174,beta-control-neural-D.633,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.011357
Regulation facilitates safety and passenger confidence.,634,3.815067632,5.866511,13.32222857,beta-control-neural-D.634,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.102004
Today I didn't even buy NME.,635,2.715760679,4.7647038,9.88813125,beta-control-neural-D.635,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.031385
It will shrink to almost nothing!,636,2.285709577,4.8226156,9.437362857,beta-control-neural-D.636,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.001843
I'd rather fight mosquitoes than bats.,637,2.921076953,4.3049808,12.36778375,beta-control-neural-D.637,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.055046
Our Dawes payday loan can help!,638,3.667277268,5.9003654,15.03382857,beta-control-neural-D.638,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.016072
"Business in Silverburn Shopping Centre, Glasgow.",639,2.898018142,5.397539,13.32951125,beta-control-neural-D.639,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.004332
This is all in one song.,640,1.914512566,4.110711,8.77482,beta-control-neural-D.640,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.072853
SEO- short for search engine optimization.,641,3.647938132,3.7215846,14.24872571,beta-control-neural-D.641,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.140148
If so - how can I pay?,642,2.060978506,4.095253,10.10366,beta-control-neural-D.642,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.033785
Just move on to the next.,643,1.529519188,3.7549474,10.23394286,beta-control-neural-D.643,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.141302
I Luv U SO much Forever.,644,3.01791083,6.4242773,14.84507571,beta-control-neural-D.644,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.169478
We may outgrow and forget them.,645,3.170657405,4.721718,10.68197857,beta-control-neural-D.645,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.104287
Is Luton plane stack a joke?,646,3.901701697,6.4638114,14.43447571,beta-control-neural-D.646,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.157366
"First of all, visit Disney Store.",647,2.716622785,4.560796,10.429075,beta-control-neural-D.647,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.065286
"Keep Your Private Stuff, well, Private!",648,3.6492314,5.204175,13.80928333,beta-control-neural-D.648,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.133099
People apparently don't get my sarcasm.,649,3.144212835,3.907844,9.9549475,beta-control-neural-D.649,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.041077
I'm mad at that stupid toy.,650,2.677333355,4.3417497,11.0678575,beta-control-neural-D.650,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.168148
With the Dubai offline mobile map!,651,3.17223164,8.748437,15.55385571,beta-control-neural-D.651,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.030998
Never been to Cairns Airport before?,652,2.907462937,3.8695772,14.17310143,beta-control-neural-D.652,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.107966
With standard Plone that is impossible.,653,2.62964648,6.5446625,11.67912857,beta-control-neural-D.653,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.107455
It's easy to be led astray.,654,1.951949262,2.6694643,8.25843625,beta-control-neural-D.654,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.064561
"That project continues, for the moment.",655,2.554761946,4.362996,8.54649875,beta-control-neural-D.655,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.176792
What Does 'Surf the Web' Mean?,656,2.992678097,2.8525777,14.7277325,beta-control-neural-D.656,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.137047
This from an ex fighter pilot.,657,2.591587935,5.465144,12.39503429,beta-control-neural-D.657,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.025846
"This is dumb, really, really dumb.",658,2.95391861,3.2033212,10.25690167,beta-control-neural-D.658,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.067799
What exactly's the matter with me?,659,2.316313561,3.7849147,11.04477625,beta-control-neural-D.659,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.160392
How do you want to feel?,660,1.607097487,2.8769474,8.716978857,beta-control-neural-D.660,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.024549
"Then, there was a brief drizzle.",661,2.267502912,3.669921,8.78767375,beta-control-neural-D.661,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.140735
Nico hears his dad and smiles.,662,3.284241804,5.608674,12.90712571,beta-control-neural-D.662,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.022601
Ideal for indoor or outdoor cultivation.,663,2.845094042,3.4139595,14.55585714,beta-control-neural-D.663,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.156384
How does billing and collection work?,664,3.347832152,3.8795803,11.26898429,beta-control-neural-D.664,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.170647
"Honest answer is, I'm not sure.",665,2.190683819,3.3612714,9.623004444,beta-control-neural-D.665,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.029880
This is pretty damn cool right?,666,2.390178084,3.585842,12.14542571,beta-control-neural-D.666,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.120146
Let's start with this month's bag!,667,2.414609694,3.980081,10.92888444,beta-control-neural-D.667,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.181552
Share resource: Computer keyboard explanation posters.,668,4.270736831,8.445377,14.09282875,beta-control-neural-D.668,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.168783
"Tomorrow, I will post about this.",669,2.994591202,3.9577415,8.40740625,beta-control-neural-D.669,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.158732
"Surface texture; Smooth, sandy or rough.",670,3.229878102,5.2677903,12.7328,beta-control-neural-D.670,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.057130
Kitchen with dining area and woodburner.,671,2.84317553,4.0493884,13.35195,beta-control-neural-D.671,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.099293
Flexible packages to fit every budget.,672,3.527476873,4.0335054,11.60498571,beta-control-neural-D.672,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.019446
This is our sixth stop today.,673,2.815535929,4.623722,10.71882857,beta-control-neural-D.673,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.083887
I highly recommend the hot chik'n.,674,3.161444087,4.2033763,12.84344778,beta-control-neural-D.674,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.160089
Three sisters preceded her in death.,675,2.705886662,5.2118235,12.41548,beta-control-neural-D.675,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.151449
Lower sales will get their attention.,676,2.660911816,6.2399354,8.897261429,beta-control-neural-D.676,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.085635
Adding this one to my list!,677,2.867692147,4.3707967,12.72959,beta-control-neural-D.677,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.036124
It stands for Hypertext Transfer Protocol.,678,3.143982189,3.610635,11.62595286,beta-control-neural-D.678,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.113866
Because I couldn't work it out.,679,1.758465134,3.4501977,7.28189125,beta-control-neural-D.679,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.032816
Lastly the Popsugar Must have Mix.,680,3.394815939,6.7082205,14.24524,beta-control-neural-D.680,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.122338
My heart just started to pound!,681,2.563939401,4.171191,12.60666857,beta-control-neural-D.681,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.061934
"Last, you will score for variety.",682,3.052953397,6.203706,11.7332475,beta-control-neural-D.682,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.167768
"Unfortunately, I'd left the flash on.",683,2.806033522,4.563012,9.632523667,beta-control-neural-D.683,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.132182
Every meeting needs to be strong.,684,2.369970279,4.905707,8.000922857,beta-control-neural-D.684,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.166398
"For example, text, textarea, checkbox etc.",685,2.345994778,4.020136,11.0296471,beta-control-neural-D.685,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.078934
So you missed the open house?,686,2.505132462,4.0943913,10.24848714,beta-control-neural-D.686,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.000974
The product is available as download-version.,687,1.831636116,5.164048,8.683657143,beta-control-neural-D.687,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.102368
Keep it simple like Kim does.,688,2.841312596,5.2376404,12.5476,beta-control-neural-D.688,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.124039
The CEO of Levi's does it.,689,2.268630518,4.577501,10.59379,beta-control-neural-D.689,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.024764
