item_id,sentence,audio_file,item_id_control
56,No response to known prescription drugs.,item_id=270_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.086.wav,270
57,The problem is the surveillance cameras.,item_id=275_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.185.wav,275
58,The signal was one of power.,item_id=281_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.796.wav,281
59,I'm not teaching middle school here.,item_id=288_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.869.wav,288
60,The sometimes cruel and hateful road.,item_id=295_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.000.wav,295
61,Forgive me if I frighten you.,item_id=305_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.876.wav,305
62,"Like an idiot, I'd believed her.",item_id=309_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.041.wav,309
63,I certainly wouldn't wear dress pants.,item_id=313_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.930.wav,313
64,Great water pressure in those pipes.,item_id=315_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.839.wav,315
65,From northern waste to southern hill.,item_id=318_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.977.wav,318
66,Her safety is of utmost importance.,item_id=324_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.121.wav,324
67,But nothing like those stomach cramps.,item_id=326_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.765.wav,326
68,A creature both demon and beast.,item_id=327_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.933.wav,327
69,It wouldn't be any fun otherwise.,item_id=328_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.184.wav,328
70,"Oh, and an amusing little monkey.",item_id=339_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.186.wav,339
71,Thou shalt not accede to evil.,item_id=344_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.819.wav,344
72,They need access to our computers.,item_id=350_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.015.wav,350
73,"And with your arrogance, it seems.",item_id=354_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.901.wav,354
74,Their hearts beat in rhythm together.,item_id=360_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.964.wav,360
75,Quintessential sound of a peaceful night.,item_id=365_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.103.wav,365
76,Central Park was across the roadway.,item_id=378_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.015.wav,378
77,Like a late night comedy sketch.,item_id=381_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.819.wav,381
78,"At least three, maybe four kids.",item_id=384_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.775.wav,384
79,"Quite simply, it was becoming tiresome.",item_id=388_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.246.wav,388
80,"In fact, he looked downright uncomfortable.",item_id=396_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.163.wav,396
81,"I was so embarrassed, so ashamed.",item_id=398_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.109.wav,398
82,Wild horses couldn't keep me away.,item_id=401_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.015.wav,401
83,Her feathery blond hair hung limp.,item_id=407_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.000.wav,407
84,But then somehow I stopped myself.,item_id=409_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.906.wav,409
85,Something big got the ball rolling.,item_id=419_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.914.wav,419
86,Opposite ends of the same axis.,item_id=421_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.098.wav,421
87,The emperor of the despondent kingdom.,item_id=424_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.247.wav,424
88,Her wisdom and foresight is evident.,item_id=430_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.109.wav,430
89,We made promises of eternal love.,item_id=433_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.135.wav,433
90,The ceremony will take place tonight.,item_id=435_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.166.wav,435
91,Painter stepped closer to the technician.,item_id=440_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.113.wav,440
92,She felt foolish and oddly frightened.,item_id=443_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.085.wav,443
93,"Crisp, fresh onion, just enough cilantro.",item_id=444_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.211.wav,444
94,Floor to ceiling windows covered it.,item_id=455_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.000.wav,455
95,"She shrugged, hoping to look indifferent.",item_id=456_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.069.wav,456
96,It was an upstairs back bedroom.,item_id=471_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.873.wav,471
97,It's built around an enclosed courtyard.,item_id=472_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.977.wav,472
98,My skin feels like melting wax.,item_id=477_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.849.wav,477
99,Guitar chords lent a soothing strum.,item_id=478_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.977.wav,478
100,As if that would impress anyone.,item_id=483_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.000.wav,483
101,Check some of my reference books.,item_id=485_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.758.wav,485
102,He was a United States Senator!,item_id=486_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.098.wav,486
103,Water drips from the exhaust pipe.,item_id=492_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.869.wav,492
104,Especially the priest in our church.,item_id=497_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.030.wav,497
105,Did permission have to be granted?,item_id=505_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.000.wav,505
106,The official diagnosis was a stroke.,item_id=507_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.228.wav,507
107,Fredriksson was the acting news editor.,item_id=511_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.250.wav,511
108,A bunny can be fluffy sometimes.,item_id=516_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.046.wav,516
109,How sturdy is the coffee table?,item_id=518_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.000.wav,518
110,The brunette was licking her lips.,item_id=521_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.869.wav,521
111,He glanced wistfully out the window..,item_id=530_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.952.wav,530
112,"Gross stopped briefly, then went on.",item_id=535_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.882.wav,535
113,I couldn't help laughing with him.,item_id=540_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.848.wav,540
114,Bullets began to snap past him.,item_id=546_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.858.wav,546
115,The courage to meet every challenge.,item_id=549_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.138.wav,549
116,Payne was more methodical than that.,item_id=556_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.041.wav,556
117,Suppose Lauren comes looking for us??,item_id=562_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.089.wav,562
118,A letter awaited her at Princeton.,item_id=568_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.170.wav,568
119,"Fred Mullen from Mercer Island, Wash.",item_id=569_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.066.wav,569
120,For what do the utopians labor??,item_id=572_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.109.wav,572
121,Martin gave her a teasing pat.,item_id=582_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.804.wav,582
122,You can use milk if required.,item_id=587_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.796.wav,587
123,Our friend Bo Fodor is playing.,item_id=594_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.920.wav,594
124,The fifth character is Mr. Globe.,item_id=603_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.030.wav,603
125,This procedure works in most cases.,item_id=608_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.070.wav,608
126,I'm definitely up to the challenge!,item_id=619_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.113.wav,619
127,Visit my Author Website for more.,item_id=620_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.044.wav,620
128,How to create a personalized chart.,item_id=624_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.091.wav,624
129,I'm starting to get a complex.,item_id=626_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.786.wav,626
130,So the wise renounce that aim.,item_id=632_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.791.wav,632
131,A must for all hosta collections.,item_id=633_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.092.wav,633
132,"First of all, visit Disney Store.",item_id=647_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.930.wav,647
133,"Keep Your Private Stuff, well, Private!",item_id=648_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.846.wav,648
134,With the Dubai offline mobile map!,item_id=651_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.977.wav,651
135,Never been to Cairns Airport before?,item_id=652_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.044.wav,652
136,With standard Plone that is impossible.,item_id=653_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.166.wav,653
137,"That project continues, for the moment.",item_id=655_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.091.wav,655
138,What exactly's the matter with me?,item_id=659_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.000.wav,659
139,Nico hears his dad and smiles.,item_id=662_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.793.wav,662
140,This is pretty damn cool right?,item_id=666_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.752.wav,666
141,Three sisters preceded her in death.,item_id=675_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.098.wav,675
142,Lower sales will get their attention.,item_id=676_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.000.wav,676
143,"Unfortunately, I'd left the flash on.",item_id=683_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.143.wav,683
144,It was overwhelming support for Epic.,item_id=693_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.225.wav,693
145,Or you can use Meeting Mapper.,item_id=699_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.762.wav,699
146,Press F5 to reset the position.,item_id=706_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.172.wav,706
147,Take 1 leaf of Aloe Vera.,item_id=719_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.918.wav,719
148,We need more female stage hypnotists.,item_id=720_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.977.wav,720
149,Amazing place to learn martial arts.,item_id=723_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.100.wav,723
150,Wine choices pretty much the same.,item_id=724_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.853.wav,724
151,Hatched a Wobbuffet from the Egg.,item_id=726_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.862.wav,726
152,You've managed to edit a value!,item_id=730_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.000.wav,730
153,Your decisions will shape the world!,item_id=732_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.861.wav,732
154,Do any stand out in particular?,item_id=735_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.173.wav,735
155,And how does it impact mobile?,item_id=740_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.858.wav,740
156,Addiction is not a pretty face.,item_id=747_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.089.wav,747
157,And I've actually spoken with him.,item_id=748_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.109.wav,748
158,Let's get it going once again.,item_id=754_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.804.wav,754
159,There were probably five of them.,item_id=759_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.868.wav,759
160,And that is a direct strategy.,item_id=771_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.015.wav,771
161,"Senator Edwards, good luck to you.",item_id=777_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.041.wav,777
162,The terror camp was never built.,item_id=778_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.873.wav,778
163,Thousands of innocent lives were lost.,item_id=783_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.015.wav,783
164,I have a very supportive husband.,item_id=794_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.138.wav,794
165,I want everybody to do well.,item_id=801_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.094.wav,801
166,And command doesn't first believe them.,item_id=804_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.977.wav,804
167,"Finally, he was this past Friday.",item_id=807_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.070.wav,807
168,I'm not crazy about blind dates.,item_id=819_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.853.wav,819
169,I got pinched in the elevator.,item_id=834_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.909.wav,834
170,"Craig, darling are you in there?",item_id=836_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.775.wav,836
171,"On your ear, you've got something.",item_id=842_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.786.wav,842
172,It probably has the Dumper's name.,item_id=843_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.977.wav,843
173,Why's his britches round his knees?,item_id=850_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.751.wav,850
174,Because... I didn't think I would?,item_id=856_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.832.wav,856
175,What happens when the baby comes?,item_id=861_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.862.wav,861
176,"Just please, give me the ticket!",item_id=862_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.771.wav,862
177,Learn how to speak English first.,item_id=863_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.773.wav,863
178,"Our prayers have been answered, Turkle!",item_id=866_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.015.wav,866
179,I'm out here looking for Leo.,item_id=878_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.869.wav,878
180,I've continued working on the case!,item_id=885_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.000.wav,885
181,The drawstring just completes the fit.,item_id=910_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.838.wav,910
182,Wishing your husband a happy birthday!,item_id=911_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.123.wav,911
183,Asked her question and did nothing.,item_id=912_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.955.wav,912
184,"Well, this may be an exception.",item_id=920_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.893.wav,920
185,Both Tina and Vicky are excellent.,item_id=922_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.244.wav,922
186,There is no subterfuge in you.,item_id=929_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.858.wav,929
187,Sometimes he stood up for exercise.,item_id=935_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.028.wav,935
188,Paying special attention to the eyes.,item_id=942_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.192.wav,942
189,"They will, however, cost a bunch.",item_id=946_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.861.wav,946
190,My favorite so far in Bellevue.,item_id=948_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.942.wav,948
191,I would recommend them to anyone!,item_id=950_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.166.wav,950
192,"""I think it's overblown,"" he said.",item_id=953_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.906.wav,953
193,Hope is indeed a wonderful thing.,item_id=959_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.028.wav,959
194,That's where Dr. Angell comes in.,item_id=963_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.918.wav,963
195,The redemption date is March 1.,item_id=974_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.909.wav,974
196,The two companies declined to comment.,item_id=975_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.042.wav,975
197,Justice Singh asks the government's lawyer.,item_id=978_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.098.wav,978
198,That's why we're talking about taxes.,item_id=983_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.044.wav,983
199,"Before that, he had no records.",item_id=986_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.930.wav,986
200,He's taught me that by example.,item_id=995_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.815.wav,995
